,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Number of Clusters
KMeans,0.21299878946386624,1.5852337067073023,2391.2844318276693,3
Agglomerative,0.15636257140130982,1.8600321366488155,1661.6395430787534,3
GMM,0.09438438624018494,2.3029084409034817,1142.7432629177265,3
DBSCAN,-0.44506231410354813,1.263710155974833,15.878926892174134,50
